scenario,strategy,repeat,success_rate,primary_success_rate,fallback_usage_rate,fallback_success_rate,fallback_accuracy,fallback_macro_f1,fallback_precision,fallback_recall,human_review_rate,p50,p95,p99,success_p95,scheduler_lag_p95,recovery_seconds,retry_count,rejected_count,circuit_open_seconds,requests_during_outage,primary_calls,estimated_cost_per_request
error10,C,2,0.9,0.9,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333362204001,,0,0,0.0,0,120,0.001
error10,D,2,0.9833333333333333,0.9,0.1,0.08333333333333333,0.8333333333333334,0.8962962962962964,1.0,0.8222222222222223,0.016666666666666666,0.031000000017229003,0.03270000000629776,0.046999999991385,0.03410000000585528,0.014333333333100001,,0,0,0.0,0,120,0.001
error10,A,2,0.9,0.9,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.0160000000149,,0,0,0.0,0,120,0.001
error10,B,2,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.09399999998277,0.1069599999909404,0.09399999998277,0.014333333333100001,,13,0,0.0,0,133,0.0011083333333333333
error10,D,3,0.975,0.925,0.075,0.05,0.6666666666666666,0.85,1.0,0.7555555555555555,0.025,0.031000000017229003,0.047000000020489006,0.047000000020489006,0.047000000020489006,0.01303333333945635,,0,0,0.0,0,120,0.001
error10,A,3,0.925,0.925,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.015333333351494002,,0,0,0.0,0,120,0.001
error10,B,3,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.06299999999464401,0.09399999998277,0.06299999999464401,0.015000000025611,,9,0,0.0,0,129,0.001075
error10,C,3,0.925,0.925,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,,0,0,0.0,0,120,0.001
error10,A,4,0.9083333333333333,0.9083333333333333,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,,0,0,0.0,0,120,0.001
error10,B,4,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.0930499999929445,0.12195999999938063,0.0930499999929445,0.013666666669693002,,12,0,0.0,0,132,0.0011
error10,C,4,0.9083333333333333,0.9083333333333333,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333362204001,,0,0,0.0,0,120,0.001
error10,D,4,0.975,0.9083333333333333,0.09166666666666666,0.06666666666666667,0.7272727272727273,0.8690476190476191,1.0,0.7833333333333333,0.025,0.031000000017229003,0.046999999991385,0.047000000020489006,0.046999999991385,0.014333333362204001,,0,0,0.0,0,120,0.001
error30,A,0,0.6416666666666667,0.6416666666666667,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.013666666698797,,0,0,0.0,0,120,0.001
error30,B,0,0.9666666666666667,0.9666666666666667,0.0,0.0,,,,,0.0,0.032000000006519,0.1559999999895802,0.1878099999966791,0.125,0.013666666669693002,,54,0,0.0,0,174,0.0014500000000000001
error30,C,0,0.18333333333333332,0.18333333333333332,0.0,0.0,,,,,0.0,0.0,0.032000000006519,0.032000000006519,0.032000000006519,0.015999999985797,,0,84,2.8280000000086147,0,36,0.00030000000000000003
error30,D,0,0.8666666666666667,0.18333333333333332,0.8166666666666667,0.6833333333333333,0.8367346938775511,0.9029982363315696,1.0,0.8306451612903226,0.13333333333333333,0.0,0.032000000006519,0.04415000001783474,0.032000000006519,0.0160000000149,,0,84,2.8280000000086147,0,36,0.00030000000000000003
error30,B,1,0.9583333333333334,0.9583333333333334,0.0,0.0,,,,,0.0,0.031000000017229003,0.17274999999208349,0.203000000008614,0.125,0.0160000000149,,49,0,0.0,0,169,0.0014083333333333335
error30,C,1,0.5666666666666667,0.5666666666666667,0.0,0.0,,,,,0.0,0.030999999988125002,0.032000000006519,0.032000000006519,0.032000000006519,0.013666666669693002,,0,30,1.0,0,90,0.00075
