scenario,strategy,metric,n,mean,std,ci95_low,ci95_high
error30,A,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
error30,B,success_rate,5,0.9716666666666667,0.01118033988749891,0.9577844411406777,0.9855488921926556
error30,B,primary_success_rate,5,0.9716666666666667,0.01118033988749891,0.9577844411406777,0.9855488921926556
error30,B,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error30,B,fallback_success_rate,5,0.0,0.0,0.0,0.0
error30,B,fallback_accuracy,0,,,,
error30,B,fallback_macro_f1,0,,,,
error30,B,fallback_precision,0,,,,
error30,B,fallback_recall,0,,,,
error30,B,human_review_rate,5,0.0,0.0,0.0,0.0
error30,B,p50,5,0.031800000008661004,0.0004472135907102997,0.03124471099356859,0.03235528902375342
error30,B,p95,5,0.16575000000215315,0.02366035714141278,0.1363717863550175,0.19512821364928878
error30,B,p99,5,0.19955399999924633,0.012905620099942684,0.18352955614665262,0.21557844385184005
error30,B,success_p95,5,0.14233000000007423,0.028254105895778876,0.10724789390784882,0.17741210609229963
error30,B,scheduler_lag_p95,5,0.014273333349691473,0.0011061444595699087,0.012899873597430955,0.01564679310195199
error30,B,recovery_seconds,0,,,,
error30,B,retry_count,5,50.4,5.504543577809154,43.56520641289062,57.23479358710938
error30,B,rejected_count,5,0.0,0.0,0.0,0.0
error30,B,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error30,B,requests_during_outage,5,0.0,0.0,0.0,0.0
error30,B,primary_calls,5,170.4,5.504543577809153,163.56520641289063,177.23479358710938
error30,B,estimated_cost_per_request,5,0.00142,4.587119648174288e-05,0.0013630433867740886,0.0014769566132259114
error30,C,success_rate,5,0.32333333333333336,0.15782814141407805,0.12736381223605975,0.519302854430607
error30,C,primary_success_rate,5,0.32333333333333336,0.15782814141407805,0.12736381223605975,0.519302854430607
error30,C,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error30,C,fallback_success_rate,5,0.0,0.0,0.0,0.0
error30,C,fallback_accuracy,0,,,,
error30,C,fallback_macro_f1,0,,,,
error30,C,fallback_precision,0,,,,
error30,C,fallback_recall,0,,,,
error30,C,human_review_rate,5,0.0,0.0,0.0,0.0
error30,C,p50,5,0.0092000000004188,0.01275049018111417,-0.006631824616921286,0.025031824617758887
error30,C,p95,5,0.03500000000378324,0.006708203926382023,0.026670664695785534,0.043329335311780945
error30,C,p99,5,0.035000000009313005,0.006708203938746945,0.02667066468596222,0.04332933533266379
error30,C,success_p95,5,0.035000000009313005,0.006708203938746945,0.02667066468596222,0.04332933533266379
error30,C,scheduler_lag_p95,5,0.014866666667318002,0.001069787101786171,0.013538350537287365,0.01619498279734864
error30,C,recovery_seconds,0,,,,
error30,C,retry_count,5,0.0,0.0,0.0,0.0
error30,C,rejected_count,5,63.6,22.28901074520805,35.924537802098264,91.27546219790173
error30,C,circuit_open_seconds,5,2.1435999999986963,0.7576280749793511,1.2028804952684122,3.08431950472898
error30,C,requests_during_outage,5,0.0,0.0,0.0,0.0
error30,C,primary_calls,5,56.4,22.28901074520805,28.72453780209826,84.07546219790174
error30,C,estimated_cost_per_request,5,0.00047000000000000004,0.0001857417562100671,0.00023937114835081885,0.0007006288516491812
error30,D,success_rate,5,0.8716666666666667,0.023273733406281555,0.8427685097922946,0.9005648235410388
error30,D,primary_success_rate,5,0.32333333333333336,0.15782814141407805,0.12736381223605975,0.519302854430607
error30,D,fallback_usage_rate,5,0.6766666666666666,0.15782814141407805,0.480697145569393,0.8726361877639403
error30,D,fallback_success_rate,5,0.5483333333333333,0.140608795362642,0.37374445430074005,0.7229222123659267
error30,D,fallback_accuracy,5,0.8055990746466938,0.034560165697763955,0.7626869611278235,0.848511188165564
error30,D,fallback_macro_f1,5,0.8872498622406226,0.020705397075461554,0.8615407161235085,0.9129590083577368
error30,D,fallback_precision,5,1.0,0.0,1.0,1.0
error30,D,fallback_recall,5,0.8080422962494437,0.02953682672040636,0.7713674818895321,0.8447171106093553
error30,D,human_review_rate,5,0.12833333333333335,0.023273733406281562,0.09943517645896123,0.1572314902077055
error30,D,p50,5,0.01239999999525,0.012968230406310503,-0.0037021848206771537,0.028502184811177153
error30,D,p95,5,0.03530000000318951,0.00655124033396698,0.027165560736922292,0.043434439269456726
error30,D,p99,5,0.04342999999970175,0.0065076493392799755,0.035349686102183274,0.051510313897220224
error30,D,success_p95,5,0.0372500000012221,0.007310095751231324,0.028173317283495845,0.04632668271894835
error30,D,scheduler_lag_p95,5,0.01483333334683692,0.0007046472695599606,0.01395839820079173,0.015708268492882108
error30,D,recovery_seconds,0,,,,
error30,D,retry_count,5,0.0,0.0,0.0,0.0
error30,D,rejected_count,5,63.6,22.28901074520805,35.924537802098264,91.27546219790173
error30,D,circuit_open_seconds,5,2.1472000000067055,0.7559121642135778,1.2086110798984127,3.0857889201149984
error30,D,requests_during_outage,5,0.0,0.0,0.0,0.0
error30,D,primary_calls,5,56.4,22.28901074520805,28.72453780209826,84.07546219790174
error30,D,estimated_cost_per_request,5,0.00047000000000000004,0.0001857417562100671,0.00023937114835081885,0.0007006288516491812
error50,A,success_rate,5,0.465,0.03248931448269654,0.4246591878805155,0.5053408121194846
error50,A,primary_success_rate,5,0.465,0.03248931448269654,0.4246591878805155,0.5053408121194846
error50,A,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error50,A,fallback_success_rate,5,0.0,0.0,0.0,0.0
error50,A,fallback_accuracy,0,,,,
error50,A,fallback_macro_f1,0,,,,
error50,A,fallback_precision,0,,,,
error50,A,fallback_recall,0,,,,
error50,A,human_review_rate,5,0.0,0.0,0.0,0.0
error50,A,p50,5,0.0310000000114082,1.3015704688985713e-11,0.03099999999524707,0.031000000027569332
error50,A,p95,5,0.04400000001187421,0.006708203935493018,0.035670664692563706,0.05232933533118471
error50,A,p99,5,0.04400000001769501,0.006708203938746945,0.035670664694344226,0.05232933534104579
error50,A,success_p95,5,0.04400000001071005,0.006708203934842233,0.0356706646922076,0.052329335329212495
error50,A,scheduler_lag_p95,5,0.01375666667617964,0.0006499572572258224,0.012949638149511073,0.014563695202848208
error50,A,recovery_seconds,0,,,,
error50,A,retry_count,5,0.0,0.0,0.0,0.0
error50,A,rejected_count,5,0.0,0.0,0.0,0.0
error50,A,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error50,A,requests_during_outage,5,0.0,0.0,0.0,0.0
error50,A,primary_calls,5,120.0,0.0,120.0,120.0
error50,A,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
error50,B,success_rate,5,0.8533333333333333,0.038459935864047765,0.8055790155977193,0.9010876510689473
error50,B,primary_success_rate,5,0.8533333333333333,0.038459935864047765,0.8055790155977193,0.9010876510689473
error50,B,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error50,B,fallback_success_rate,5,0.0,0.0,0.0,0.0
error50,B,fallback_accuracy,0,,,,
error50,B,fallback_macro_f1,0,,,,
error50,B,fallback_precision,0,,,,
error50,B,fallback_recall,0,,,,
error50,B,human_review_rate,5,0.0,0.0,0.0,0.0
